순위,제목,저자,출판사,요약
1,데이터 중심 애플리케이션 설계(데이터베이스 & 빅데이터 시리즈 19),마틴 클레프만,위키북스,"데이터는 오늘날 시스템을 설계할 때 마주치는 많은 도전 과제 중에서도 가장 중심에 있다. 확장성, 일관성, 신뢰성, 효율성, 유지보수성과 같은 해결하기 어려운 문제를 파악해야 할 뿐 아니라 관계형"
2,혼자 공부하는 SQL,우재남,한빛미디어,"혼자 해도 충분하다! 
1:1 과외하듯 배우는 데이터베이스 자습서(MySQL Community 8.0 지원)
이 책은 아무런 사전 지식 없는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’,"
3,인스파이어드,마티 케이건,제이펍,"왜 어떤 제품은 ‘대박’을 터트리고 어떤 제품은 그러지 못할까?

인터넷 산업의 초기 시절에는 한 회사가 어느 지역에 위치했는지가 그 회사가 일하는 방식에 큰 영향을 미쳤습니다. 하지만 오늘날 지역은 큰"
4,Real MySQL 8.0 (2권)(개정판)(위키북스 데이터베이스 & 빅데이터 시리즈 24),백은빈,위키북스,"MySQL 서버를 활용하는 프로젝트에 꼭 필요한 경험과 지식을 담았습니다!

《Real MySQL 8.0》은 《Real MySQL》을 정제해서 꼭 필요한 내용으로 압축하고, MySQL 8.0의 GTID와 InnoDB 클러스터 기능들과"
5,Real MySQL 8.0 (1권)(전면개정판)(위키북스 데이터베이스 & 빅데이터 시리즈 23),백은빈,위키북스,"《Real MySQL 8.0》은 《Real MySQL》을 정제해서 꼭 필요한 내용으로 압축하고, MySQL 8.0의 GTID와 InnoDB 클러스터 기능들과 소프트웨어 업계 트렌드를 반영한 GIS 및 전문 검색 등의 확장 기능들을 추가로"
6,친절한 SQL 튜닝(개발자를 위한 SQL 튜닝 입문서),조시형,디비안(주)(DBian),책 제목은 필자가 애청하는 라디오 프로그램 ‘손에 잡히는 경제’ 중 ‘친절한 경제’라는 코너에서 착안했다. 어려운 경제 이슈를 일반인 눈높이에 맞게 풀어서 설명해 주는 진행자를 보면서 “나도 SQL 성능
7,SQL 전문가 가이드(개정판)(양장본 HardCover),한국데이터산업진흥원,한국데이터산업진흥원,SQL 전문가 가이드는 SQL 자격검정 대비 수험서로 데이터베이스와 데이터 모델링에 대한 지식을 바탕으로 최적의 성능을 발휘할 수 있도록 SQL을 작성하고 데이터베이스 프로그램이나 응용 소프트웨어의 성능을
8,핸즈온 데이터 시각화,잭 도허티,한빛미디어,한눈에 들어오는 차트와 지도는 글보다 강력하다. 문서가 글로만 빼곡히 채워져 있으면 사용자의 집중력을 저하시킬 뿐 아니라 설득력도 약해지기 마련이다. 하지만 적절한 타이밍에 등장하는 시각화된 데이터는
9,그림으로 배우는 SQL 입문,사카시타 유리,영진닷컴,비즈니스에서 데이터 활용이 갈수록 중요해지면서 이제 SQL은 데이터를 다루는 모든 사람에게 기본 스킬이 되어가고 있습니다. 이 책은 데이터베이스를 처음 접하는 초보자들을 위해 반드시 알아야 할 SQL 필수
10,데이터아키텍처 자격검정 실전문제,한국데이터베이스진흥원,한국데이터산업진흥원,"데이터아키텍처 전문자격(DAP, DATA ARCHITECTURE PROFESSIONAL) 대비 실전문제집 『데이터 아키텍처 자격검정 실전문제』. 
전사 아키텍처, 데이터 품질 관리, 데이터 요건 분석, 데이터 표준화, 데이터 모델링,"
11,2022 유선배 SQL개발자(SQLD) 과외노트(개정판),정미나,시대고시기획,"도서 특징
핵심만 쏙쏙 담은 알찬 수험서! SD에듀가 가장 효율적·효과적인 합격의 길을 제안합니다.

유튜브 선생님에게 배우는 유·선·배, 그 첫 번째 시리즈!
〈유선배 SQL개발자 과외노트〉와 함께 2022년"
12,사례 분석으로 배우는 데이터 시각화,황재진,한빛미디어,"1. 데이터 시각화 이론부터 실습까지 한 권에 담았습니다!
데이터 시각화 이론만 배우면 ‘이론은 아는데 이제 어떻게 데이터 시각화를 해야 하지?’라는 의문이 생깁니다. 반대로 실습만 배우면 ‘차트는 만들 줄"
13,Do it! SQL 입문(Do it! 시리즈),강성욱,이지스퍼블리싱,20년간 글로벌 기업에서 데이터베이스 전문가로 근무한 저자의 풍부한 실무 경험을 이 책에 아낌없이 담았다! IT 초보자도 쉽게 이해할 수 있는 난이도와 친절한 설명으로 누구나 쉽게 SQL에 입문할 수 있게
14,국가공인 SQLP 자격검정 핵심노트 1,조시형,디비안(주)(DBian),2010년에 시작해 2012년 12월에 국가공인 민간자격을 획득한 SQLP(SQL 전문가) 자격검정은 개발 현장에서 SQL을 능숙하게 잘 다루는 개발자들이 전문가로 대우받을 수 있도록 인증해 주자는 취지로 만들어졌다. 이
15,국가공인 SQLP 자격검정 핵심노트 2,조시형,디비안(주)(DBian),2010년에 시작해 2012년 12월에 국가공인 민간자격을 획득한 SQLP(SQL 전문가) 자격검정은 개발 현장에서 SQL을 능숙하게 잘 다루는 개발자들이 전문가로 대우받을 수 있도록 인증해 주자는 취지로 만들어졌다. 이
16,이경오의 SQL+ SQLD 비밀노트(시험장에 몰래 가져갈),이경오,한빛미디어,"이 책은 IT 전공자를 포함한 일반인도  SQL을 더 수월하게 학습을 할 수 있도록 다음과 같이 구성했습니다.

① 손쉬운 설치 환경 : 손쉽게 오라클 DBMS를 설치하고, 설치한 DBMS를 활용할 수 있는
DBMS 도구도"
17,데이터 사이언티스트 실전 노트,이지영,비제이퍼블릭,"1. 데이터 사이언티스트의 실제 업무를 알려드리고, 데이터 사이언티스트가 되기 위한 필수 역량을 체크리스트로 알려줍니다.
막연하게 데이터 사이언티스트를 꿈꾸는 것은 이제 그만! 데이터 사이언티스트의"
18,이기적 SQL 개발자 이론서+기출문제(2021),임호진,영진닷컴,본 도서는 한국데이터진흥원에서 시행하는 ‘SQL 개발자’ 자격의 합격을 위한 도서입니다. SQL 개발자의  시험 출제 기준과 출제된 기출문제를 분석하여 핵심 내용만 엄선하였습니다. 과목과 섹션마다 개념을
19,SQL 첫걸음,아사이 아츠시,한빛미디어,"본격적인 빅데이터 시대에 접어들면서 기존 대비 더 효율적이고 폭넓은 데이터 분석을 위한 수요가 커질 것으로 기대되는 가운데, SQL 활용 범위 역시 더욱 확대될 전망이다. 그 과정에서 취업 준비생이나 일반"
20,데이터베이스 시스템(7판),Abraham Silberschatz,한빛아카데미,"데이터베이스에 대한 거의 모든 것

이 책은 전통적인 관계형 데이터베이스의 이론부터 블록체인 데이터베이스와 같은 최신 기술까지  다룹니다. 관계형 데이터베이스 모델, 데이터베이스 설계(개념적/논리적"
21,데이터베이스 개론(3판),김연희,한빛아카데미,"데이터베이스로 첫 항해를 떠나는 이들에게 지도와 돛이 되어주는 책입니다.
마인드맵으로 생소한 개념 간의 관계를 한눈에 보여주고,
친근한 예와 비유를 들어 명료하게 풀어내, 데이터베이스 기본기를 탄탄히"
22,모두의 SQL,김도연,길벗,"난생처음 SQL로 데이터를 분석하고 가공해야 한다면? 
초보자와 비전공자를 위한 가장 쉬운 SQL 입문서

인터넷이 발전하고 페이스북과 같은 소셜 미디어가 활성화되면서 데이터로 모든 것을 말하는 시대가"
23,데이터 플랫폼 설계와 구축(클라우드 컴퓨팅),다닐 즈부리브스키,에이콘출판,"잘 설계된 데이터 플랫폼의 파이프라인, 스토리지 시스템과 API는 온프레미스 데이터 센터에서 발생하는 복잡한 유지보수 문제와 무분별한 증설, 확장작업을 없애 준다. 클라우드 데이터 플랫폼 설계 패턴을"
24,데이터 민주화와 셀프서비스 데이터,샌딥 우탐찬다니,에이콘출판,데이터를 기반으로 도출되는 인사이트는 모든 산업에서 경쟁 우위의 열쇠로 여겨진다. 하지만 원천 데이터에서 인사이트를 도출하는 것은 생각만큼 쉽지 않다. 데이터 파이프라인을 아무리 잘 구성해도 인사이트
25,이것이 MySQL이다,우재남,한빛미디어,"2016년 출간 후 데이터베이스 도서 분야 부동의 베스트셀러 1위를 지켜오던 『이것이 MySQL이다』가  MySQL 8.0 버전을 반영하여 개정되었다. 특히 ‘파이썬 기초 및 파이썬과 데이터베이스의 연동’, ‘"
26,불친절한 SQL 프로그래밍,정희락,디비안(주)(DBian),"이미 수많은 SQL 책이 출간되어 있지만 기초적인 내용만 다루는 ""친절한"" 책이 대부분이다. 기초적인 내용만 다루다 보니 막상 필요한 고급 기능은 인터넷에서 찾아야 하는 아쉬움이 있다. SQL 프로그래밍의"
27,대용량 데이터베이스솔루션 1(새로 쓴)(양장본 HardCover),이화식,엔코아컨설팅,데이터베이스 솔루션 전문서. 이 책은《대용량데이터베이스솔루션1》의 100% 완전 개정판으로 지난 10년간 발전한 데이터베이스 기술의 원리와 실재를 충실히 반영했다. 또한 저자가 제공한 DB 구동의 근본 원리가
28,데이터 파이프라인 핵심 가이드(데이터베이스 & 빅데이터 시리즈 25),제임스 댄스모어,위키북스,데이터 파이프라인은 데이터 분석의 성공을 위한 기반입니다. 수많은 다양한 소스에서 데이터를 이동하고 컨텍스트를 제공하기 위해 변환하는 것은 데이터를 그저 소유하는 것과 그로부터 실제 가치를 얻는
29,실무자를 위한 그래프 데이터 활용법,데니즈 고즈넬,한빛미디어,"데이터는 점점 더 방대하고 복잡해지고 있다. 넘쳐나는 데이터의 홍수 속에서 구원의 손길을 바라는 이가 있다면 바로 여기, 이 책을 펼쳐보자. 컴퓨터는 행과 열로 이루어진 정적 데이터에 의존하는 반면, 사람은"
30,데이터베이스 배움터(DVD1장포함),홍의경,생능출판,"『데이터베이스 배움터』는 데이터베이스의 기본적인 개념과 실용적인 이론을 중심으로 한 학기 동안 가르치기에 적절한 주제들을 정선하여 저술하였고, 개념을 알기 쉽게 보여주는 그림들을 많이 사용하여"
31,클라우드 인프라와 API의 구조(그림으로 배우는),히라야마 쯔요시,로드북,"『클라우드 인프라와 API의 구조』는 클라우드, 그 중에서도 IaaS와 같은 인프라 부문에 종사하는 엔지니어를 위한 책이다. 특정 클라우드 서비스에 종속된 기능이 아닌 좀더 거시적인 관점에서 클라우드 인프라를"
32,데이터 분석을 위한 SQL 레시피,가사키 나가토,한빛미디어,"이 책은 집필진이 실제로 업무에서 작성했던 리포트나 SQL 코드를 범용화하여 정리한 지침서입니다. 데이터 집계와 가공, 매출 파악, 웹사이트 내 유저 행동 파악, 이상 수치 검출, 검출기능 평가, 추천 기능 구축"
33,Do it! 오라클로 배우는 데이터베이스 입문,이지훈,이지스퍼블리싱,데이터베이스는 탄탄한 기본기를 쌓아야만 실무에서 어려운 SQL문을 만나도 흔들리지 않는다. [Do it! 오라클로 배우는 데이터베이스 입문]은 현업 프로그래머이자 강사인 저자가 수많은 프로젝트 경험을 살려
34,엔터프라이즈 데이터 플랫폼 구축,얀 쿠닉크,책만,빅데이터 기술에 대한 정보는 넘쳐나지만 이 모든 기술을 매끄럽게 연결해서 완벽한 엔터프라이즈 데이터 플랫폼을 구축하는 기법은 포괄적으로 다뤄지지 않은 어려운 작업이다. 이 책은 성공적인 모던 데이터
35,관계형 데이터 모델링 노트(개정판)(프리미엄 가이드 2),김기창,위즈덤마인드,출간 이래 데이터 모델러와 DA(Data Architect)들로부터 필독서로 인정받아온 [관계형 데이터 모델링 노트]의 개정판이다. 이 책은 저자의 [관계형 데이터 모델링 프리미엄 가이드]와 함께 데이터 모델링 분야에서
36,핵심 데이터 모델링,유동오,디비안(주)(DBian),"이 책은 모델링 이론과 개념모델링, 논리모델링, 물리 모델링 과정에서 수행하는 작업을 중심으로 기술했으며, 마지막에는 모델링 사례를 바탕으로 다양한 주제를 다루었다. 이론적인 내용을 포함하여 실제"
37,그림으로 배우는 데이터베이스,사카가미 코오다이,영진닷컴,"IoT, SNS 등을 통해 수많은 데이터가 쏟아져 나오고 있는 세상입니다. 데이터베이스는 이러한 대용량 정보를 관리하고 필요한 데이터를 추출하는 역할을 하는 핵심 기술입니다. 데이터베이스를 익히게 되면"
38,데이타베이스 시스템,이석호,정익사,"[머리말]

이 책은 데이타베이스 과목으로 두 학기에 걸쳐 대학의 학부와 대학원 가초 과정에서 하용할 수 있는 내용으로 집필하였다. 이 책을 사용하는 독자는 컴퓨터 프로그래밍과 자료구조에 대한 기초지식을"
39,데이터베이스(전면개정판 3판)(핵심 정보통신기술 총서 3),삼성SDS 기술사회,한울아카데미,"정보통신기술 분야 명품 참고서
최신 기술 흐름 반영, 더 쉽고 충실한 설명

1999년 첫 발간 이후 기술사 수험생 및 실무자의 필독서이자 정보통신기술 분야 종사자의 실전 지침서로 확고하게 자리매김한 '핵심"
40,데이터베이스와 한글 MS-SQL(단계적으로 배우는),신경애,글로벌,"이 책은 데이터베이스 개론에 대한 전반적인 이론을 간략하게 기술한 다음, MS-SQL Server 2000의 개념과 특징을 서술하였다. 그리고 MS-SQL Server 2000의 설치 및 사용방법을 다양한 예제와 함께 설명하였다."
41,초보자를 위한 SQL 200제(PL/SQL),유연수,정보문화사,"그동안 수없이 많은 프로그래밍 관련 기술들이 나왔지만, 데이터를 검색하고 다루는 기술은 SQL(Structure Query Language)이 한결같이 자리를 지키고 있습니다. 이 책은 총 5개 파트와 200개의 예제로 구성되어"
42,No SQL,프라모드 사달게이,인사이트,『No SQL: 빅 데이터 세상으로 떠나는 간결한 안내서』는 십억이 넘는 사용자가 스마트폰 등으로 끊임없이 막대한 정보를 쏟아내는 환경에 적응하고 이를 처리하기 위해 고안된 기술인 NoSQL에 대한 책이다.
43,프로젝트 성패를 결정짓는 데이터 모델링 이야기(Blog2Book 12),김상래,한빛미디어,『프로젝트 성패를 결정짓는 데이터 모델링 이야기』는  공학과 철학을 넘나들며 다른 책에서 충분히 다루지 않은 모델링의 본질적 이야기를 담았다. 저자가 친절히 그려준 책 구성 지도(책 8~9페이지)를 함께
44,SQL 레벨업,미크,한빛미디어,"『SQL 레벨업』은 《SQL 첫걸음》으로 성공적인 입문을 마치고, 다음 고지를 바라보는 이들을 위한 책이다. 고성능 SQL 작성 방법을 초보자 눈높이에 맞춰 다양한 예제를 통해 설명한다. 특히 오라클과 호환성을"
45,오라클 SQL과 PL/SQL(다양한 예제로 쉽게 배우는)(개정판 3판),서진수,생능출판,SQL과 PL/SQL에 대한 내용은 방대하며 어려운 내용들이 많기 때문에 처음 공부하는 학습자는 스스로 공부하기가 쉽지 않다. 이 책은 방대한 SQL과 PL/SQL에 대한 모든 내용들을 전부 담는 것보다는 기초가 되는
46,데이터베이스 개론과 실습(MySQL로 배우는)(IT CookBook 259),박우창,한빛아카데미,"데이터베이스를 처음 배우는 학생을 대상으로, 이론과 실습을 함께 공부할 수 있도록 구성한 책입니다. 데이터베이스 시스템을 이해하는 데 필요한 이론을 4개의 부로 나누어 설명하고, 마지막에는 배운 내용을"
47,데이터베이스 기초와 실습(액세스 2019로 배우는)(IT CookBook 284),김지연,한빛아카데미,액세스를 통해 데이터베이스의 ‘개념 → 모델링 → 구축’을 익힐 수 있습니다. 핵심 개념과 기능을 단계별로 실습하다 보면 실무에 바로 적용할 수 있는 인터넷서점 프로젝트가 완성됩니다. 또한 4~11장
