순위,제목,저자,출판사,요약
1,컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,조훈,길벗,IT 자원을 효율적으로 빠르게 사용할 수 있는 방법으로 컨테이너 환경이 거론되었으나 그동안 관리가 어렵고 복잡해서 상용되기 어려웠다. 하지만 쿠버네티스가 등장하면서 복잡도가 줄어들고 비용 대비 생산성을
2,그림과 실습으로 배우는 도커 & 쿠버네티스(위키북스 시스템 & 네트워크 시리즈 12),오가사와라 시게타카,위키북스,"이 책은 컨테이너 기술이 어렵게 느껴지는 엔지니어나 백엔드 기술에 자신이 없는 분들을 위한 도커 입문서입니다. 자세한 그림과 친절한 실습을 통해 리눅스 지식이나 서버 구축 경험이 없어도 컨테이너와 도커,"
3,함께 자라기,김창준,인사이트,"‘함께’는 협력을 말하고, ‘자라기’는 학습을 말합니다. 무엇이건 실제 바깥세상(야생)에 임팩트를 남기려면 혼자 힘으로만 되는 게 없습니다. 함께 해야 합니다. 주변 사람들과 함께. 매일 부대끼는 동료들과"
4,프로그래머의 뇌,펠리너 헤르만스,제이펍,"이 책은 인지과학에 기반을 둔 각종 방법론으로 개발자가 새로운 언어나 프레임워크를 빠르게 배워 생산성을 향상하도록 돕는다. 코드를 더 잘 이해하는 것에서 나아가, 버그 방지, 명확한 작명법, 리팩터링,"
5,그림으로 배우는 클라우드 2/E,하야시 미사유키,영진닷컴,"클라우드 컴퓨팅은 이제 비즈니스와 일상생활에서 빼놓을 수 없는 존재가 되었습니다. 애플리케이션 개발, 웹 서비스 등을 넘어서 최근에는 기업용 정보 시스템과 IoT(Internet of Things) 플랫폼 등으로 이용"
6,쿠버네티스 완벽 가이드,마사야 아오야마,길벗,"쿠버네티스 환경, 버전, kubectl 버전, 그 외 시스템 버전 업데이트! 쿠버네티스 1.18 전후로 거의 모든 기능 총망라! 원서의 1판에 비해 그림 설명 강화! 예제 매니페스트 파일 300개 이상 제공! 쿠버네티스는"
7,클린 애자일,로버트 C. 마틴,인사이트,"애자일 선언이 첫선을 보인 지 20년 가까이 지난 지금, 살아있는 전설 로버트 C. 마틴(“엉클 밥”)은 새로운 세대에게 애자일 가치와 실천 방법을 다시 소개합니다. 애자일의 기본을 되짚어봐야 할 때라고"
8,시작하세요! 도커/쿠버네티스(시작하세요!)(개정판)(위키북스 시스템 & 네트워크 시리즈 9),용찬호,위키북스,도커 컨테이너는 애플리케이션을 배포하기 위한 새로운 패러다임을 제시하는 가상화 패러다임입니다. 컨테이너 자체는 사용하기 매우 쉽지만 이를 활용하고 관리하기는 결코 쉽지 않습니다. 이 책은 도커를 처음
9,쿠버네티스 인 액션(오픈소스 프로그래밍 시리즈),마르코 룩샤,에이콘출판,쿠버네티스를 이용해 애플리케이션을 효과적으로 개발하고 운영할 수 있는 방법을 초보자도 쉽게 이해할 수 있도록 설명한다. 쿠버네티스 아키텍처와 각 객체의 개념을 명확히 정립할 수 있도록 예제와 그림을
10,GoF의 디자인 패턴 :재사용성을 지닌 객체지향 소프트웨어의 핵심요소(개정판)(양장본 HardCover),에릭 감마,프로텍미디어,▶ 이 책은 디자인 패턴을 다룬 이론서입니다. 디자인 패턴의 기초적이고 전반적인 내용을 학습할 수 있습니다.
11,쿠버네티스 입문,정원천,동양북스,"현재 다양한 인프라 구축의 핵심 기술은 컨테이너입니다. 운영체제, 데이터베이스, 웹 서버 등 인프라 구축에 필요한 컨테이너 이미지 각각을 조합해 인프라 환경을 손쉽게 설정할 수 있습니다. 그런데 이러한"
12,개발 함정을 탈출하라,멜리사 페리,에이콘출판,"■ 기능으로 가치를 만들어가야 할 기업이 기능 출시 자체에만 급급해지는 원인은 무엇일까?
■ 확장 가능한 방향으로 프로덕트 조직을 꾸릴 방법은 무엇일까?
■ 프로덕트 계획이 기업의 비전과 경제적 성과에"
13,단위 테스트,블라디미르 코리코프,에이콘출판,"소프트웨어 개발에 있어 단위 테스트는 이제 선택이 아니라 필수가 됐다. 단위 테스트에 대한 오해를 바로잡고, 올바른 단위 테스트에 대한 원칙, 테스트를 작성하는 스타일과 효과적인 테스트를 위한 소프트웨어"
14,애자일 & 스크럼 프로젝트 관리,이재왕,길벗,"애자일은 정형화된 프로세스, 도구, 방법론이 아니라 구성원 간의 상호작용과 소통, 고객과의 협력, 변화에 대응하는 것을 중시하는 가치와 철학을 말한다. 애자일은 기존 방법론과 상호보완하며 적용할 수 있는"
15,쉽게 배우는 Jira Project(지라 프로젝트) 애자일 스크럼,안재성,제이에스캠퍼스,『쉽게 배우는 Jira Project 애자일 스크럼』 은 초보자도 Jira를 쉽게 애자일 프로젝트 관리에 사용할 수 있도록 Jira 사용법과 애자일 스크럼 프레임워크 그리고 프로젝트 관리개념을 함께 모아 설명한 책이다.
16,레거시 코드 활용 전략(재출간판),마이클 C. 페더스,에이콘출판,▶ 레거시 코드 활용 전략에 관한 내용을 담은 전문서적입니다.
17,업무 시각화(에이콘 애자일 시리즈),도미니카 드그란디스,에이콘출판,"사람들은 왜 돈으로도 살 수 없는 시간을 낭비할까? 사실은 누군가 교묘하게 시간을 훔쳐가고 있다! 이 책은 시간을 훔쳐가는 도둑이 누구인지, 눈에 보이지 않는 도둑들을 드러나게 하려면 어떻게 해야 하는지를"
18,구글 클라우드 앱시트 노코드 완전활용법,임형준,마크리더컨설팅,"노 코드 개발은 소스 코드를 작성하지 않고 단순한 웹 · 앱뿐만 아니라 데이터베이스 등의 다양한 기능을 탑재한 노코드 툴을 결합하여 사용한다. 이로써, 간단한 수준의 CRUD(Create, Read, Update, Delete)가"
19,사용자 스토리 맵 만들기,제프 패튼,인사이트,"“아이디어를 올바른 제품을 만들어 나가는 여정”
스토리 매핑이란, 만들고자 하는 제품의 각 단계와 내용을 사용자가 이해할 수 있는 언어(스토리)를 사용해 지도 형태로 만드는 과정이다. 애자일 소프트웨어"
20,클라우드 네이티브를 위한 쿠버네티스 실전 프로젝트(Practical IT Series),아이자와 고지,동양북스,"클라우드 컴퓨팅, 컨테이너, 쿠버네티스라는 세 가지 인프라 관련 기술이 등장하면서 최신 서비스 개발 환경은 클라우드 네이티브와 데브옵스(DevOps)를 향해 빠르게 움직이고 있다. 이제는 애플리케이션"
21,디지털 트랜스포메이션 엔진,니콜 폴스그렌,에이콘출판,"조직을 고성과 조직으로 변화시키기 위한 많은 연구 조사와 실험, 인사이트를 품고 있다. 지속적 전달, 아키텍처, 제품 및 프로세스, 린 관리 및 모니터링, 문화라는 다섯 가지 관점에서 고성과 조직으로 가는"
22,프레임워크 없는 프론트엔드 개발,프란세스코 스트라츨로,에이콘출판,프레임워크 없이 효과적으로 작업하는 방법과 프로젝트에 적합한 프레임워크를 선택하는 방법의 두 가지 주제를 다룬다. 프레임워크나 서드파티 라이브러리를 사용하지 않고 프론트엔드 애플리케이션을 개발하는
23,프로젝트에서 제품으로,믹 커스텐,에이콘출판,"‘파괴적 혁신’이라는 캐치프레이즈로 대표되는 디지털 변혁의 시대에 우리가 어떻게 대응해야 살아남을 수 있는지를 알려준다. 저자 믹 커스텐 박사는 소프트웨어 개발자로서, 또 태스크톱의 창립자로서 보고"
24,좋은 팀을 만드는 24가지 안티패턴 타파 기법(애자일),아이노 본 코리,에이콘출판,retrospective(회고)는 '돌아 보다'라는 의미의 라틴어 retrospectare에서 왔다. 회고는 과거의 이벤트나 산출물을 살펴보고 앞으로의 일을 계획하는 과정이다. 요즘처럼 변화무쌍한 시기에는 짧은 기간의 피드백
25,"프로메테우스, 오픈소스 모니터링 시스템",브라이언 브라질,책만,"프로메테우스(Prometheus)는 쿠버네티스에 이어 CNCF(클라우드 네이티브 컴퓨팅 재단) 프로젝트를 두 번째로 졸업하며 사실상의 표준 모니터링 도구로 자리잡았다. 또한, 쿠버네티스 클러스터를 운영하며"
26,프로젝트 관리 실무(개정판 6판),안재성,제이에스캠퍼스,"[프로젝트 관리 실무]는 프로젝트 관리자가 알아야 할 지식 영역을 계획과 수행을 중심으로 범위부터 공급에 이르는 PMBOK의 관리 프로세스를 실무 중심으로 설명하고 또한, 현장에서 실무 프로젝트관리자가 가장"
27,IT 운용 체제 변화를 위한 데브옵스 DevOps,카와무라 세이고,영진닷컴,DevOps는 Dev(개발)과 Ops(운용)이 긴밀한 협력과 연계를 통해 비즈니스 가치를 높이려고 하는 근무 방식과 문화를 말합니다. DevOps는 최신 기술과 도구의 사용뿐만 아니라 그것들을 둘러싼 조직과 문화까지
