순위,제목,저자,출판사,요약
1,혼자 공부하는 파이썬(혼자 공부하는 시리즈),윤인성,한빛미디어,『혼자 공부하는 파이썬』이 더욱 흥미있고 알찬 내용으로 개정되었습니다. 프로그래밍이 정말 처음인 입문자도 따라갈 수 있는 친절한 설명과 단계별 학습은 그대로! 혼자 공부하더라도 체계적으로 계획을 세워
2,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,문과생도 중고등학생도 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정판으로 새로 태어났다! 2016년 《Do it! 점프 투 파이썬》으로 출간되었던 이 책은 약 4년 동안의 피드백을 반영하여 초보자가
3,Do it! 조코딩의 프로그래밍 입문(누구나 쉽게 배우는)(Do it! 시리즈),조동근,이지스퍼블리싱,드디어 누구나 쉽게 배울 수 있는 조코딩식 코딩 공부법을 담은 책이 나왔다. IT 비전공자에다가 코딩 적성이 맞지 않아 고민하던 그가 앱 스토어 차트 2위의 〈동물상 테스트〉 앱을 만든 비결은 무엇일까?
4,파이썬과 40개의 작품들(만들면서 배우는),장문철,앤써북,"파이썬 기초 문법 떼고 자동화, 크롤링, 이미지처리, 데이터분석, 웹페이지, GUI 프로그램, 게임, 인공지능 관련 40개 프로그램 직접 파이썬 코딩하며 만들어 본다.  

이 책은 파이썬 기초 문법을 익힌 후 총"
5,Java의 정석(3판)(전2권),남궁성,도우출판,자바의 기초부터 객제지향개념을 넘어 실전활용까지 수록한『Java의 정석』. 저자의 오랜 실무경험과 강의한 내용으로 구성되어 자바를 처음 배우는 초보자들의 궁금한 점을 빠짐없이 담고 있다. 더불어 기존의
6,리팩터링(2판),마틴 파울러,한빛미디어,"지난 20년간 전 세계 프로그래머에게 리팩터링의 교본이었던 이 책의 1판은, 기존 코드의 디자인을 개선하고 소프트웨어 유지 관리 능력을 향상시켰으며 기존 코드를 이해하기 쉽게 만드는 데 도움을 주었습니다."
7,면접을 위한 CS 전공지식 노트,주홍철,길벗,"디자인 패턴, 네트워크, 운영체제, 데이터베이스, 자료 구조, 개발자 면접과 포트폴리오까지!
CS 전공지식 습득과 면접 대비, 이 책 한 권이면 충분하다!
 
개발자 면접에서 큰 비중을 차지하는 CS(Computer"
8,러스트 프로그래밍(한 줄 한 줄 짜면서 익히는)(Programming Insight),팀 맥나마라,인사이트,"러스트는 시스템 프로그래밍에 적합한 언어이다. C와 같은 저수준 언어에 견줄 만한 성능과 두려움 없이 코딩할 수 있는 매우 견고한 안전 요소를 함께 제공한다. 러스트 프로그램은 간결하고, 가독성이 좋고,"
9,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,"IT 취준생이라면 누구나 가고 싶어 하는 카카오, 라인, 삼성전자의 2016년부터 2020년까지의 코딩 테스트와 알고리즘 대회의 기출문제를 엄선하여 수록하였다. 최근 5년간의 코딩 테스트 기출문제를 분석하여"
10,자바 ORM 표준 JPA 프로그래밍(에이콘 오픈 소스 프로그래밍 시리즈),김영한,에이콘출판,"자바 ORM 표준 JPA는 SQL 작성 없이 객체를 데이터베이스에 직접 저장할 수 있게 도와주고, 객체와 관계형 데이터베이스의 차이도 중간에서 해결해준다. 이 책은 JPA 기초 이론과 핵심 원리, 그리고 실무에 필요한"
